code,country,Population,total wealth,gross national savings,death rate,c02 damages,corruption score
CHN,China,1357380000,25091314516121.00,2348945783068.00,7.44,54876987807,36
IND,India,1252140000,11535972378055.90,440226236630.00,7.35,13350715404,38
USA,United States,316129000,217623159381449.00,1798983924910.00,8.15,44727758164,74
IDN,Indonesia,249866000,4360303578240.03,102316855325.00,6.34,2798459963,34
BRA,Brazil,200362000,14752395057893.40,270247450605.00,6.54,2915478833,43
PAK,Pakistan,182143000,1900180009494.24,32439125523.00,6.58,1113155322,29
NGA,Nigeria,173615000,1552377081865.62,..,13.16,901956102,27
BGD,Bangladesh,156595000,1008173202683.21,29393748985.00,5.64,345626849,25
RUS,Russia,143500000,10471058737753.50,534366557424.00,13.83,13868593114,27
JPN,Japan,127339000,70116072725856.30,1313488061796.00,9.38,9868610668,76
MEX,Mexico,122332000,13544371024643.70,271431704176.00,5.24,3388985251,35
PHL,Philippines,98394000,1636013736136.53,56199135777.00,4.92,640725957,38
ETH,Ethiopia,94101000,245057421984.96,4440834925.00,8.52,57789469,33
VNM,Vietnam,89709000,779054906630.75,26604839807.00,5.93,893975827,31
EGY,Egypt,82056000,1578964218502.56,38471650776.00,4.77,1426884995,37
DEU,Germany,80622000,45127355733470.60,..,11.29,6304232812,79
IRN,Iran,77447000,2282126756704.58,..,5.94,3008642130,27
TUR,Turkey,74933000,8275217119422.09,129784013668.00,6.12,2061464341,45
ZAR, Democratic Republic of the Congo,67514000,132008592213.94,972223660.00,10.3,17921966,22
THA,Thailand,67011000,2425777667819.28,80263583206.00,7.72,2218387730,38
FRA,France,66028000,35698823809773.70,540225302972.00,9.06,2997845461,69
GBR,United Kingdom,64097000,39907530891472.50,399226183544.00,9.34,4347455985,78
ITA,Italy,59831000,29202526480640.60,416298648144.00,10.1,3501583673,43
MMR,Myanmar,53259000,..,..,#N/A,73183085,21
ZAF,South Africa,52982000,4041714080516.65,43142635974.00,17.49,3421044338,44
KOR,South Korea,50220000,11985649882197.70,285618615253.00,6.63,4003584061,55
TZA,Tanzania,49253000,..,..,8.2,42820786,31
COL,Colombia,48321000,2453766526728.13,47149469960.00,5.36,509962832,37
ESP,Spain,46647000,17723137087588.30,321207152400.00,9,2755183615,60
UKR,Ukraine,45490000,1380344363228.28,36136277291.00,15.72,2871635849,26
KEN,Kenya,44354000,365981482614.12,3984373050.00,7,91360890,25
ARG,Argentina,41446000,2760797768452.21,81956650013.00,7.34,1502708323,34
DZA,Algeria,39208000,993795028018.09,96169375687.00,4.31,1038200681,36
POL,Poland,38531000,5188234063611.19,97424649010.00,10.37,2704064403,61
SDN,Sudan,37964000,440164469907.70,7937558951.00,7.87,100400390,11
UGA,Uganda,37579000,171661844809.15,1770860079.00,10.97,20896394,26
CAN,Canada,35158000,17399360845694.30,325071467002.00,8.31,4321296466,81
IRQ,Iraq,33417000,..,..,4.57,632687062,16
MAR,Morocco,33008000,954837898202.83,27448336644.00,4.79,363585611,39
AFG,Afghanistan,30552000,..,..,14.12,6792581,12
VEN,Venezuela,30405000,1854953299964.05,108993408095.00,5.27,1521938711,19
PER,Peru,30376000,1256118316636.43,29017125129.00,5.99,324448114,38
UZB,Uzbekistan,30241000,139098618873.34,11310429251.00,5.29,1120397354,18
MYS,Malaysia,29717000,1641668214854.34,..,5,1561915650,52
SAU,Saudi Arabia,28829000,3377808903534.20,231437866667.00,3.32,2949290855,49
NPL,Nepal,27797000,151520436419.25,4779397469.00,6.62,25111290,29
GHA,Ghana,25905000,209527807172.34,1099566168.00,7.37,69481206,48
MOZ,Mozambique,25834000,108390069168.40,665660868.00,12.34,18090190,31
PRK,South Korea,24895000,..,..,6.63,595575828,55
YEM,Yemen,24407000,..,..,6.45,160220466,19
AUS,Australia,23131000,10546787512475.80,318278777391.00,7.07,2851358014,80
MDG,Madagascar,22925000,64917750853.80,1379234633.00,6.95,24286833,28
SYR,Syria,22846000,387898055140.69,6834201338.00,6.51,568618421,20
CMR,Cameroon,22254000,281358465855.20,..,10.4,32190135,27
AGO,Angola,21472000,220050109661.37,16966261397.00,11.67,116953193,19
LKA,Sri Lanka,20483000,424686353837.18,7303099828.00,6.06,103821018,38
CIV,Cote d'Ivoire,20316000,262566328179.76,2858715935.00,9.67,53896324,32
ROM,Romania,19964000,1750351938558.13,49754561257.00,11.88,869858911,43
NER,Niger,17831000,63248935415.64,..,12.73,8492090,35
CHL,Chile,17620000,1660491218542.45,37667943064.00,5.93,485093901,73
KAZ,Kazakhstan,17038000,..,52910248804.00,8.31,1631318392,29
BFA,Burkina Faso,16935000,114561413330.91,..,11.96,6606609,38
NLD,Netherlands,16804000,9686593051138.02,90252852738.00,8.57,1395705495,83
MWI,Malawi,16363000,44716723708.99,1263654898.00,8.74,9861985,33
ECU,Ecuador,15738000,577206371418.93,16857305803.00,5.04,246617259,33
GTM,Guatemala,15468000,547849524286.66,5520339302.00,4.82,98450205,32
MLI,Mali,15302000,93496003636.86,..,13.22,4709138,32
KHM,Cambodia,15135000,..,..,7.78,35903716,21
